word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
a p a j̠̠ q a ʧ a n a m a n t a	182088	6429461	15
a p a j̠̠ q a ʧ a n a ŋ k u	160901	4470635	13
a p a j̠̠ q a ʧ a n a t a	143370	3188170	12
a p a j̠̠ q a ʧ a ɲ ʧ i x ʧ u	193987	6281438	14
a p a j̠̠ q a ʧ a ʃ a j k u	137880	3918310	13
a p a j̠̠ q a ʧ a j k u	118332	2410114	11
a p i t a p i s	93828	818488	8
a p u	13572	13572	3
a p u m a l k u	111335	996238	8
a p u m u ŋ k u	103240	966292	8
a p u n t a n a	128511	1008868	8
a p u r a k u x t i ɲ ʧ i x	265884	7525916	14
a p u r a ʎ a ʃ a m p u n i	212854	6167280	14
a p u r a ʎ a t a	145980	1597742	9
a p u r a ʎ a t a ɲ a	176670	3010442	11
a p u r a n a m p a x	145440	2277986	11
a p u r a n a n t a	171972	2406190	10
a p u r a r i k u w a x	255390	4845236	12
a p u r a r i s u n m a n	233229	5966825	13
a p u r a t a	112950	666565	7
a p u r i m u n i	153717	1686794	9
a qʰ a	7128	7128	3
a qʰ a n	20196	43956	4
a qʰ a n a	30888	98496	5
a qʰ a p a x	33804	153688	6
a qʰ a t a	33768	107136	5
a qʰ a t a q a	58518	371782	7
a qʰ a t a t a x	81720	657355	8
a qʰ a w a n	54432	266544	6
a qʰ a j m a m p i s	68790	1041952	10
a q e r p a j t a	108360	1248219	9
a qʰ e t a	37520	113660	5
a qʰ e t a t a	74150	474160	7
a qʰ e t a j k i	75968	744984	8
a q o n	28050	55968	4
a q o n a n ɲ a	97548	825430	8
a q o s a ɲ ʧ u	99905	905734	8
a r a n i	55566	189540	5
a r a n s a j a	83430	726570	8
a r i	19440	19440	3
a r i s q a	70560	314748	6
a r i w a k i	111672	772056	7
a r m a ɲ ʧ i x	104652	940234	8
a r m a ŋ k u p a ʧ a	145747	2798554	11
a r m a s n i j u x	107910	1696174	10
a s i n a p a x	75456	602640	8
a s i p a j a r i ʎ a s q a t a x	214452	9148886	17
a s i p a j a j k u s q a ŋ k u	187019	7535854	16
a s i r i ʧ i n a ŋ k u p a x	266455	8153619	15
a s i r i k u n	157863	1322826	8
a s i r i k u s p a	178056	2222849	10
a s i r i ʎ a s q a t a x	191808	4428990	13
a s i r i n	97848	414450	6
a s i r i r i ʃ a ŋ k u	220787	4574690	12
a s i r i s a n m a m p i s	177546	5117132	14
a s i r i s p a	114336	879012	8
a s i r i s q a	113328	865836	8
a s i s i ʃ a ŋ k u	109979	1700945	10
a s i j k u k u j t a w a n	225682	6705614	14
a s i j m a n t a	90342	1019295	9
a s kʰ a	26784	44604	4
a ʃ k a ʎ a	63630	283470	6
a ʃ kʰ a m a n	54828	411483	7
a ʃ kʰ a r a x	80244	473385	7
a ʃ k a r̞ q a ŋ k u	130445	2039386	10
a ʃ k a t a	65538	293466	6
a s kʰ a t a ʧ u	103374	1004962	8
a ʃ kʰ a t a ɲ a	90108	781549	8
a ʃ k a t a t a	102168	898211	8
a ʃ k a x	40950	105252	5
a ʃ kʰ i t a	74760	311340	6
a ʃ k i t a ʎ a	116994	961027	8
a ʃ k i t a ʎ a t a	152292	2138016	10
a s k i t o q a	116146	888721	8
a s k i t u	92112	416641	6
a s k i t u n r i	206226	2184778	9
a s q a n r a j k u	134100	2104750	10
a s t a n a ʎ a ŋ k u p a x p u n i	265635	13541588	18
a s t a w a n	88992	605322	7
a s t a w a n ɲ a	125820	1407567	9
a s t a w a n r a x	156222	2107356	10
a s t a w a ɴ q a	97020	1074715	9
a s t a j k u	73566	559657	7
a s u m i n a j k u	108582	1770998	10
a s u m i s p a	76128	651634	8
a s w a n	52488	161028	5
a s w a n t a	96444	605322	7
a s w a n t a ɲ a	127134	1407567	9
a s w a n t a q a	121194	1302033	9
a t a h i t u t a	130517	1436602	9
a t a s p i	54180	282660	6
a t a t a j	60606	265752	6
a t a x	23310	40140	4
a t e ɴ q a	45430	226387	6
a t e ɴ q a ʧ u s	107146	1307618	9
a t e ɴ q a ɲ a ʧ u	109384	1865842	10
a t e ɴ q a ŋ k u	93615	1258872	9
a t e r̞ q a ʧ u	106744	1094996	8
a t e r̞ q a ɲ ʧ i s ʧ u	201280	4661114	12
a t e r̞ q a ŋ k u ʧ u	187637	3449053	11
a t e r̞ q a j k u ʧ u	177162	3271428	11
a t i k o r̞ q a ʧ u	161688	2549278	10
a t i k u n	104919	489154	6
a t i k u n a ʧ u	163437	1979588	9
a t i k u ɲ ʧ u	169415	1484082	8
a t i k u s q a ʎ a n t a	215820	5523399	13
a t i k u s q a n m a n	172692	3831373	12
a t i ʎ a n t a x	138252	1474446	9
a t i ʎ a ŋ k u m a n	154998	2922265	11
a t i ʎ a ŋ k u t a x ʧ u	212263	5801852	13
a t i ʎ a x	72894	286663	6
a t i m p i s	71544	505484	7
a t i n	45288	81522	4
a t i ɲ ʧ i s	119880	734557	7
a t i ɲ ʧ i s ʧ u	166944	2008834	9
a t i ɲ ʧ i x	113664	650326	7
a t i ɲ ʧ i x ʧ u	147001	1838090	9
a t i ɲ ʧ u	104303	488290	6
a t i n i ʧ u	119352	818228	7
