word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
t a i ŋ	57717	102729	4
χ ɔ i t	78474	140412	4
p ɔ t ə ɮ	118699	375886	5
ʃ a ɮ ɢ ə r ʊ ɮ ə χ	313279	4488968	10
a m ʧ ə ɮ tʰ	146735	701434	6
x i ʦʰ u	71610	149754	4
ʦ ʊʊ n	27648	27648	3
a ɮ tʰ ə ŋ	108928	326299	5
i x nʲ i	63162	130680	4
ʃ i n ʧ ɮ ə x	180345	1251823	7
p ɔ ɮ ɮ ɔ	147149	446366	5
o m n ə t	84969	335938	5
ʊ χ a n	53460	106920	4
j ɔ s ɔ r	128412	443912	5
χ ɔɔ ɮ	38961	38961	3
ɔ r ə χ	93092	175010	4
t e x	39897	39897	3
a ʃ ə ɢ tʰ	98457	318561	5
χ ʊ ɢ ə ʦʰ a	122585	600194	6
s ʊ m ə ŋ	74800	242656	5
p u s	24679	24679	3
nʲ ii s ɮ ə ɮ	151602	746562	6
o t rʲ i ŋ	126362	378328	5
ʦ u i ŋ	65934	115214	4
tʰ ʊ ŋ	23232	23232	3
χ ɔ n ə g	99819	326062	5
ɔ ʧʰ ə ʧ	90354	185064	4
o ŋ g ə r s ə ŋ	193749	1795148	8
i r u ɮ	95830	186184	4
s ʊ r g ʊ ɮʲ i ŋ	219879	1834637	8
g i r e	83028	162198	4
p ɮ ɔ g	78884	130910	4
i x ə ŋ x	94017	309276	5
xʲ ii t ə g	99727	319761	5
m i t ə x	101277	317854	5
aa w	0	0	2
n i g t s ə ŋ	138446	908326	7
tʰ ʊ r ʃ	76923	146363	4
a r g ə g u i	181337	1317727	7
s ɔ j ə ɮ	122250	415956	5
ɔ r ʧʰ ə ŋ	122100	381784	5
tʰ uu n t	61236	123732	4
a mʲ	0	0	2
j a w t ə g	115423	591510	6
i r tʰ nʲ i	104032	351268	5
ʊ t a ŋ	56265	102729	4
ʦ u i ɮʲ i g	173019	791690	6
p a i g ə ɮʲ i ŋ	215857	1701611	8
a ʧ ə ɮ ɮ ə χ	223739	1420825	7
tʰ e n t	66339	131811	4
s ʊ r ɢ ʊ ɮʲ t	176022	1229378	7
t uu	0	0	2
x u ɮ e ʧ	146187	457278	5
ʦ aa s ə ŋ	87638	275318	5
j a pʰ ə n	73830	264780	5
i x ɮ e t	132645	411990	5
o n o t ə r	177674	944236	6
χ a m tʰ r ə ŋ	152201	970210	7
ʧ i ɮ t	78144	149754	4
j a n ʦ	55242	112842	4
χ a r a t	111111	331302	5
tʰ uu x	38016	38016	3
ɔ r ʃ ə χ	120435	407758	5
j ɔ s	35670	35670	3
n i r tʰ e	118215	374904	5
a mʲ tʰ ə ŋ	82048	257839	5
i ʦ ə ŋ	65120	115214	4
p a i ɢ ə ɮʲ	124549	651122	6
j a pʰ ə ŋ	69575	236675	5
mʲ i t ə ɮʲ	110453	365182	5
j ɔ s ə n	108634	346066	5
ʦʰ a gʲ i ŋ	70950	234454	5
xʲ ii g e t	99093	330919	5
a ɮ tʰ ə ŋ	108928	326299	5
s ɔ nʲ ə r χ ə ɮ tʰ ɔ i	364712	6765760	11
t ee r x	87616	163318	4
ɢ a r ɢ ə χ	125060	587058	6
p uu	0	0	2
ʃ a r	37851	37851	3
ɢ ɔ ɮ ə ŋ	125689	333253	5
tʰ o r ə ɮ	160432	511414	5
ɔ r ʊ ɮ ʧ	135531	471962	5
t ɔ ɮ ɔ	109224	208362	4
ʊ ʧʰ ə r	85470	170940	4
ɔ r ɔ t	109224	208362	4
o m n ə x	86967	348790	5
m i t e	65472	127872	4
o n o t ə r	177674	944236	6
j aa χ	25920	25920	3
i ʦʰ ə g	71114	136190	4
χ a ɮ ʊ ŋ	100122	274494	5
ii m	0	0	2
j e r	43290	43290	3
i ŋ g e t	80997	285080	5
p u s g u i	122322	605936	6
p a i t ɮ ə g	178797	1120063	7
ʦʰ a χ ə ɮ ɢ a ŋ	183767	1609564	8
x i ɮ ə x	130647	413226	5
p ɔ ɮ ə m ʧ	155770	680032	6
x i ɮ nʲ i	111111	357786	5
ɢ a ʦ ə r tʰ	154144	702407	6
χ ɔ ɮ p ɔ n	136202	676568	6
χ ɔ ɮ p ɔ	110741	371846	5
p u x ə ŋ	100122	270814	5
a mʲ t ə r t ə g	214830	1909244	8
pʰ r a n ʦʰ ə ŋ	144874	927694	7
ʃ a ʃ ə ŋ	94798	286456	5
χ a i r	69696	135630	4
