word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
ee d ee p t O mj i t r	948980	17577309	10
ee d A t	301954	631894	4
ee d vj E k ts i j i	843246	10395994	9
ee d vj i n tj I v n i j	1115127	22362404	11
ee d vj i n tj I s t	991512	13539610	9
ee d vj i r bj i a lj i z A ts i j i	2122281	91611846	16
ee d vj i r bj i a lj i zj I r ee v ee tj sj i	2916672	178511236	19
ee d vj i r bj i A lj n i j	1491010	36767178	12
ee d v ee k A t	631282	4451860	7
ee d v ee k A t s kj i j	1036645	20560527	11
ee d v ee k A t s t v ee	1383202	24563890	11
ee d v ee k A t s t v ee v ee tj	1820114	55905697	14
ee d v ee k ee t U r ee	1060536	17667154	10
ee d dj i tj I v n i j	1290534	19533756	10
ee d d U k t ee r	1018889	10532883	8
ee d d U k t ee r n i j	1437524	27411020	11
ee d d U k ts i j i	992336	11658702	9
ee dj i k v A t n ee s tj	1036522	22484787	11
ee dj i k v A t n i j	779401	14067739	10
ee dj i nj I t	466391	2673863	6
ee dj i n O i t	500240	4120954	7
ee dj i n O i d n i j	913863	15947016	10
ee dj i n O m ee	488954	3752654	7
ee dj E p t	376350	1461102	5
ee dj i r mj I n	708331	4900980	7
ee dj E x	298350	548954	4
ee d zh A rj i ts	1044404	7387055	7
ee d zh A r k ee	933833	6135786	7
ee d zh A r s kj i j	1229453	15486648	9
ee d zh I k ee	660832	2798552	6
ee dj i a b A t ee	611695	6808758	8
ee dj i a b ee tj I chj i s kj i j	1238692	43217767	14
ee dj i a b A t n i j	812410	14532266	10
ee dj i n ee mj I j i	688436	9214528	9
ee d mj i nj i s t r ee tj I v n i j	2001582	81740073	16
ee d mj i nj i s t r A t ee r	1667880	48176592	13
ee d mj i nj i s t r A t ee r s kj i j	2243127	106060923	17
ee d mj i nj i s t r A t ee r s t v ee	2633706	118023716	17
ee d mj i nj i s t r A t ee r sh ee	2104792	74792684	15
ee d mj i nj i s t r A ts i j i	1639527	50639568	14
ee d mj i nj i s t rj I r ee v ee nj i j i	2362663	121288937	18
ee d mj i nj i s t rj I r ee v ee tj	2120536	77484848	15
ee d mj i r A l	730317	6344890	7
ee d mj i r ee l tj E j s kj i j	1903305	61687962	14
ee d mj i r ee l tj E j s t v ee	2255604	70062631	14
ee d mj i r A lj s kj i j	1269910	26674668	11
ee d mj i r A lj s t v ee	1670059	31499400	11
ee d mj i r A lj sh ee	1143595	14906298	9
A d ee f	331585	557005	4
