x	hx	logProbx	[]	[-sonorant,-ant]	[+sg]	[-nas,+lab]	[-sonorant,+ant]	[-cons,+cor]	[+sonorant,-cont]	[+cons,+dor]	[-high,-low]	[-sg,-ant]	[+cont,+voice,+cor]	[-voice,+ant,-secart]	[-syll,-nas][+cons]	[-syll][+wb]	[-low][+wb]	[+syll][+back]	[+wb][+syll]	[+syll,-low][+syll,-back]	[-syll,+sonorant][+cons,+sonorant]	[-syll][-voice]	[+cons,+sonorant,+dor][+sonorant]	[-nas][-delrel,+voice,-sg]	[-wb][+delrel,+lab]	[+wb][-syll,+sonorant]	[+cons,+lab][+low]	[+wb][+voice,-sg]	[+sonorant,-sg,+ant][+low]	[+high][][-high,-low]	[-high,-low][][+high]	[+low][][-high,-low]	[+wb][-nas,+dor][-back]	[-cont,+cor][-nas,+dor]	[-high,-back][][-high,-low,+back]	[-syll][+delrel,-sg]	[-delrel,+cor][][+wb]	[-ant][][+wb]	[-nas,+lab][][+wb]	[+delrel,+voice,+cor][][-sonorant]	violated_constraints
ty a N g i t a	-4.112	-13.089	9	1	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [+cons,+dor], [-sg,-ant], [-delrel,+cor][][+wb], 
zv a n z i m a	-6.595	-15.571	9	1	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [+cont,+voice,+cor], [+cons,+lab][+low], 
g i k w u pf a	-7.983	-16.959	9	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	[], [-nas,+lab], [+cons,+dor], [-wb][+delrel,+lab], [+cons,+lab][+low], [+wb][+voice,-sg], [+wb][-nas,+dor][-back], [-nas,+lab][][+wb], 
dzv o n z a z a	-5.813	-14.79	9	1	0	0	2	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [+cont,+voice,+cor], 
zv i s w u p a	-8.952	-17.929	9	1	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [-nas,+lab], [-sonorant,+ant], [+cont,+voice,+cor], [-voice,+ant,-secart], [+cons,+lab][+low], [-nas,+lab][][+wb], 
n u N g a nh a	-3.664	-12.64	9	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [+sonorant,-cont], [+cons,+dor], [+wb][-syll,+sonorant], 
k i b w e mh a	-7.665	-16.642	9	0	1	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [+sg], [-nas,+lab], [+sonorant,-cont], [+cons,+dor], [-high,-low], [-nas][-delrel,+voice,-sg], [+cons,+lab][+low], [+wb][-nas,+dor][-back], 
sh i g w u zv a	-8.993	-17.97	9	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-nas,+lab], [+cons,+dor], [+cont,+voice,+cor], [-nas][-delrel,+voice,-sg], [-ant][][+wb], 
dy u n z i r a	-5.226	-14.202	9	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [-sg,-ant], [+cont,+voice,+cor], [+wb][+voice,-sg], 
tsv i n j o s a	-6.76	-15.736	9	2	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-voice,+ant,-secart], [+delrel,+voice,+cor][][-sonorant], 
sh o n j u ny a	-6.124	-15.1	9	2	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sonorant,-cont], [-high,-low], [-sg,-ant], [-ant][][+wb], 
sv u n d u z a	-3.812	-12.789	9	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [+cont,+voice,+cor], 
s a n j o d a	-7.839	-16.816	9	1	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-voice,+ant,-secart], [-nas][-delrel,+voice,-sg], [-delrel,+cor][][+wb], [+delrel,+voice,+cor][][-sonorant], 
bv a n d o r a	-2.154	-11.131	9	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [+cons,+lab][+low], [+wb][+voice,-sg], 
b a g w u zv a	-9.282	-18.259	9	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-nas,+lab], [+cons,+dor], [+cont,+voice,+cor], [-nas][-delrel,+voice,-sg], [+cons,+lab][+low], [+wb][+voice,-sg], [-ant][][+wb], 
dz i b w o pf a	-9.164	-18.14	9	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	[], [-nas,+lab], [-sonorant,+ant], [-high,-low], [-nas][-delrel,+voice,-sg], [-wb][+delrel,+lab], [+cons,+lab][+low], [+wb][+voice,-sg], [-nas,+lab][][+wb], [+delrel,+voice,+cor][][-sonorant], 
y o s w o pf a	-13.173	-22.15	9	0	0	2	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	[], [-nas,+lab], [-sonorant,+ant], [-cons,+cor], [-high,-low], [-voice,+ant,-secart], [-wb][+delrel,+lab], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-high,-low][][+high], [-nas,+lab][][+wb], 
s o b w a ny a	-8.285	-17.262	9	0	0	2	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	[], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-sg,-ant], [-voice,+ant,-secart], [-nas][-delrel,+voice,-sg], [-high,-low][][+high], [-ant][][+wb], 
dzv e n j a zv a	-10.573	-19.55	9	3	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	[], [-sonorant,-ant], [+sonorant,-cont], [-high,-low], [+cont,+voice,+cor], [-ant][][+wb], [+delrel,+voice,+cor][][-sonorant], 
